Symbol,Security,Sector,Weight
GOOGL,Alphabet Inc. (Class A),Communication Services,0.0315
GOOG,Alphabet Inc. (Class C),Communication Services,0.0293
META,Meta Platforms,Communication Services,0.0252
AMZN,Amazon,Consumer Discretionary,0.0395999999999999
TSLA,"Tesla, Inc.",Consumer Discretionary,0.0219
HD,Home Depot (The),Consumer Discretionary,0.0056999999999999
WMT,Walmart,Consumer Staples,0.0141
COST,Costco,Consumer Staples,0.0067
PG,Procter & Gamble,Consumer Staples,0.0059
XOM,ExxonMobil,Energy,0.0083
CVX,Chevron Corporation,Energy,0.005
COP,ConocoPhillips,Energy,0.0018
BRK-B,Berkshire Hathaway,Financials,0.0183
JPM,JPMorgan Chase,Financials,0.0136
V,Visa Inc.,Financials,0.0106
LLY,Lilly (Eli),Health Care,0.0159
JNJ,Johnson & Johnson,Health Care,0.0083
ABBV,AbbVie,Health Care,0.0069999999999999
GE,GE Aerospace,Industrials,0.0051
CAT,Caterpillar Inc.,Industrials,0.0043
RTX,RTX Corporation,Industrials,0.0038
NVDA,Nvidia,Information Technology,0.0731
AAPL,Apple Inc.,Information Technology,0.0674
MSFT,Microsoft,Information Technology,0.059
LIN,Linde plc,Materials,0.0032
NEM,Newmont,Materials,0.0015
SHW,Sherwin-Williams,Materials,0.0014
WELL,Welltower,Real Estate,0.0023
PLD,Prologis,Real Estate,0.002
AMT,American Tower,Real Estate,0.0014
NEE,NextEra Energy,Utilities,0.0029
CEG,Constellation Energy,Utilities,0.0018
SO,Southern Company,Utilities,0.0017
