#,Company,Symbol,Weight,Price,Chg,% Chg
1,Nvidia,NVDA,0.0731,178.88,-1.76,-0.0097
2,Apple Inc.,AAPL,0.0674,271.49,5.24,-0.0197
3,Microsoft,MSFT,0.059000000000000004,472.12,-6.31,-0.0132
4,Amazon,AMZN,0.039599999999999996,220.69,3.55,-0.0163
5,Alphabet Inc. (Class A),GOOGL,0.0315,299.66,10.21,-0.0353
6,Alphabet Inc. (Class C),GOOG,0.029300000000000003,299.65,9.67,-0.0333
7,Broadcom,AVGO,0.027000000000000003,340.2,-6.62,-0.0191
8,Meta Platforms,META,0.0252,594.25,5.1,-0.0087
9,"Tesla, Inc.",TSLA,0.0219,391.09,-4.14,-0.0105
10,Berkshire Hathaway,BRK.B,0.0183,504.04,2.92,-0.0058
11,Lilly (Eli),LLY,0.0159,1059.7,16.41,-0.015700000000000002
12,Walmart,WMT,0.0141,105.32,-1.79,-0.0167
13,JPMorgan Chase,JPM,0.013600000000000001,298.02,-0.36,-0.0012
14,Visa Inc.,V,0.0106,327.98,4.21,-0.013000000000000001
15,Oracle Corporation,ORCL,0.0095,198.76,-11.93,-0.056600000000000004
16,ExxonMobil,XOM,0.0083,117.08,0.06,-0.0005
17,Johnson & Johnson,JNJ,0.0083,203.9,0.83,-0.0040999999999999995
18,Mastercard,MA,0.008199999999999999,540.4,12.52,-0.023700000000000002
19,Netflix,NFLX,0.0074,104.31,-1.36,-0.0129
20,AbbVie,ABBV,0.006999999999999999,236.28,6.83,-0.0298
21,Costco,COST,0.0067,899.01,5.72,-0.0064
22,Bank of America,BAC,0.0063,51.56,0.56,-0.011000000000000001
23,Palantir Technologies,PLTR,0.0062,154.85,-0.9,-0.005699999999999999
24,Procter & Gamble,PG,0.0059,150.92,2.73,-0.0184
25,Home Depot (The),HD,0.005699999999999999,343.32,10.94,-0.0329
26,Advanced Micro Devices,AMD,0.005600000000000001,203.78,-2.24,-0.0109
27,Coca-Cola Company (The),KO,0.0053,72.95,1.74,-0.024399999999999998
28,GE Aerospace,GE,0.0051,287.44,-3.18,-0.0109
29,Cisco,CSCO,0.0051,76.1,0.66,-0.0087
30,Chevron Corporation,CVX,0.005,149.98,-0.33,-0.0022
31,UnitedHealth Group,UNH,0.0049,319.97,8.43,-0.0271
32,IBM,IBM,0.004699999999999999,297.44,7.04,-0.0242
33,Wells Fargo,WFC,0.0044,83.11,0.71,-0.0086
34,Caterpillar Inc.,CAT,0.0043,550.43,4.3,-0.0079
35,Morgan Stanley,MS,0.0042,158.17,-0.53,-0.0033
36,American Express,AXP,0.0040999999999999995,352.89,9.09,-0.0264
37,Merck & Co.,MRK,0.0040999999999999995,97.76,2.79,-0.0294
38,Philip Morris International,PM,0.0040999999999999995,155.24,-0.41,-0.0026
39,T-Mobile US,TMUS,0.0039000000000000003,209.48,-1.03,-0.0049
40,Micron Technology,MU,0.0039000000000000003,207.37,6.0,-0.0298
41,Goldman Sachs,GS,0.0039000000000000003,774.03,0.33,-0.0004
42,RTX Corporation,RTX,0.0038,169.68,-3.05,-0.0177
43,Abbott Laboratories,ABT,0.0037,128.11,4.14,-0.0334
44,Thermo Fisher Scientific,TMO,0.0037,587.48,14.74,-0.025699999999999997
45,McDonald's,MCD,0.0037,309.35,5.19,-0.0171
46,Salesforce,CRM,0.0036,227.11,1.74,-0.0077
47,PepsiCo,PEP,0.0034000000000000002,146.33,0.23,-0.0016
48,Intuitive Surgical,ISRG,0.0033,561.61,9.38,-0.017
49,Linde plc,LIN,0.0032,412.74,4.23,-0.0104
50,Walt Disney Company (The),DIS,0.0031,104.28,1.58,-0.0154
51,Intuit,INTU,0.0031,663.15,25.71,-0.0403
52,AT&T,T,0.0031,25.93,0.41,-0.0161
53,Amgen,AMGN,0.0031,337.54,1.47,-0.0044
54,Lam Research,LRCX,0.003,142.65,3.06,-0.0219
55,Applied Materials,AMAT,0.003,224.01,3.78,-0.0171
56,Citigroup,C,0.003,98.7,1.07,-0.011000000000000001
57,AppLovin Corporation,APP,0.003,520.26,-0.56,-0.0011
58,Qualcomm,QCOM,0.0029,163.3,3.71,-0.0232
59,Uber,UBER,0.0029,83.87,0.51,-0.0060999999999999995
60,NextEra Energy,NEE,0.0029,83.48,-0.82,-0.0097
61,Verizon,VZ,0.0029,41.23,0.47,-0.0115
62,ServiceNow,NOW,0.0028000000000000004,813.43,12.97,-0.016200000000000003
63,TJX Companies,TJX,0.0028000000000000004,151.43,3.36,-0.0227
64,Intel,INTC,0.0028000000000000004,34.5,0.88,-0.0262
65,Amphenol,APH,0.0027,131.6,1.24,-0.0095
66,Charles Schwab Corporation,SCHW,0.0027,90.51,0.02,-0.0002
67,Danaher Corporation,DHR,0.0027,227.39,5.21,-0.023399999999999997
68,BlackRock,BLK,0.0026,1014.72,22.2,-0.022400000000000003
69,Gilead Sciences,GILD,0.0026,126.64,1.65,-0.0132
70,Accenture,ACN,0.0026,251.85,11.06,-0.045899999999999996
71,Booking Holdings,BKNG,0.0026,4768.0,184.9,-0.0403
72,GE Vernova,GEV,0.0025,555.84,-2.19,-0.0039000000000000003
73,S&P Global,SPGI,0.0025,493.6,2.69,-0.0055000000000000005
74,Arista Networks,ANET,0.0025,117.43,-2.16,-0.0181
75,Texas Instruments,TXN,0.0024,159.4,6.07,-0.039599999999999996
76,KLA Corporation,KLAC,0.0024,1097.12,-5.33,-0.0048
77,Boston Scientific,BSX,0.0024,96.88,0.28,-0.0029
78,Pfizer,PFE,0.0024,25.04,0.64,-0.0262
79,Stryker Corporation,SYK,0.0024,368.27,7.79,-0.0216
80,Welltower,WELL,0.0023,199.93,2.35,-0.011899999999999999
81,Boeing,BA,0.0023,179.7,0.32,-0.0018
82,Adobe Inc.,ADBE,0.0023,324.19,11.79,-0.0377
83,Union Pacific Corporation,UNP,0.0023,226.22,5.01,-0.0226
84,Progressive Corporation,PGR,0.0022,226.91,0.91,-0.004
85,Capital One,COF,0.0022,207.87,5.65,-0.0279
86,Deere & Company,DE,0.0022,487.24,10.91,-0.0229
87,Lowe's,LOW,0.0022,234.29,5.86,-0.025699999999999997
88,Medtronic,MDT,0.0022,101.2,1.85,-0.018600000000000002
89,Eaton Corporation,ETN,0.0022,331.71,3.52,-0.010700000000000001
90,Palo Alto Networks,PANW,0.0021,182.9,-2.17,-0.011699999999999999
91,CrowdStrike,CRWD,0.0021,490.67,-10.64,-0.0212
92,Honeywell,HON,0.002,190.02,1.88,-0.01
93,Chubb Limited,CB,0.002,298.29,1.97,-0.0066
94,Prologis,PLD,0.002,125.79,2.67,-0.0217
95,Analog Devices,ADI,0.0019,232.32,7.12,-0.0316
96,HCA Healthcare,HCA,0.0019,491.0,14.72,-0.030899999999999997
97,Blackstone Inc.,BX,0.0019,142.67,4.25,-0.030699999999999998
98,Vertex Pharmaceuticals,VRTX,0.0018,426.76,4.44,-0.0105
99,ConocoPhillips,COP,0.0018,87.37,-0.1,-0.0011
