Ticker,Weight
NVDA,0.7499999999898282
CEG,0.23581928548280343
GE,0.014180714329009287
LLY,3.1605590785385007e-11
WELL,1.988404238739164e-11
GOOGL,1.1566142476967727e-11
GOOG,1.147277818710733e-11
CAT,9.96009299503862e-12
WMT,9.332146052225482e-12
JPM,8.908476386901604e-12
RTX,8.400253568187599e-12
META,8.340241284692972e-12
ABBV,7.084946452583329e-12
NEM,6.0470321427129495e-12
COST,5.7261318315999624e-12
XOM,5.537710976054818e-12
BRK-B,5.036301371980369e-12
TSLA,4.973195938831393e-12
AAPL,4.956595393426292e-12
SO,4.38599053768757e-12
MSFT,4.326504640797678e-12
JNJ,4.0609872810197274e-12
AMZN,3.44039564668032e-12
V,3.3569262464327757e-12
CVX,2.7511405328360445e-12
NEE,2.69081409956871e-12
LIN,2.6334279026288265e-12
SHW,2.5109412601903475e-12
PG,2.266857566405019e-12
COP,2.0545310486994672e-12
PLD,1.977029866936554e-12
HD,1.913004087109678e-12
AMT,1.1585861555822013e-12
