Ticker,Weight
GE,0.2940254109195383
NVDA,0.267793776379631
WELL,0.17491295851701133
LLY,0.17198575161093094
CEG,0.09128209266608994
WMT,1.8522677545730634e-09
ABBV,8.564723608871204e-10
RTX,6.303851370631146e-10
GOOG,5.353354292416922e-10
GOOGL,5.341761342368083e-10
JPM,4.912290683772195e-10
NEM,4.844397074228522e-10
CAT,4.682535590576211e-10
JNJ,4.473234825317874e-10
SO,4.213152218839909e-10
XOM,3.8883180202772765e-10
COST,3.334629657037962e-10
BRK-B,3.1993266440290617e-10
PG,2.1017418370600336e-10
META,2.0965916020446528e-10
AAPL,1.9085421015472174e-10
NEE,1.7203601539810385e-10
CVX,1.6934409260493628e-10
MSFT,1.6875821860092892e-10
V,1.6179775920817673e-10
LIN,1.377957384430983e-10
SHW,1.3332241101053788e-10
HD,1.0876161802811604e-10
AMT,1.0660038879379543e-10
COP,1.0410715487032134e-10
AMZN,9.656735711728082e-11
PLD,9.13440048096592e-11
TSLA,8.225084886272589e-11
