Ticker,Weight
WELL,0.228709812599617
GE,0.18906751033336394
WMT,0.1885063666405062
LLY,0.14540370414711093
NVDA,0.12909597043366788
ABBV,0.07170890365208617
CEG,0.04750758630408754
JNJ,1.357798260039625e-07
RTX,2.405231053719484e-09
NEM,1.3713939125999124e-09
SO,9.756442479058176e-10
XOM,8.551766599930622e-10
GOOG,7.2825947562629e-10
GOOGL,7.195277272228116e-10
JPM,5.553368080602973e-10
CAT,4.6384405695792756e-10
BRK-B,3.189265071034046e-10
PG,2.24610458874445e-10
COST,2.1978646327493054e-10
CVX,1.5665182159503435e-10
NEE,1.245440855420915e-10
MSFT,1.179600477279363e-10
AAPL,1.1760326423766022e-10
V,1.0924068798554901e-10
META,9.992211459805536e-11
LIN,9.701431662171842e-11
SHW,8.642648542186123e-11
AMT,7.823805683216754e-11
COP,7.747698377445079e-11
HD,7.17594402128479e-11
AMZN,5.453024435571376e-11
PLD,4.633063126230781e-11
TSLA,3.4298629402371324e-11
